Home, Away,Prediction,points-per-game,,offensive-efficiency,defensive-efficiency,true-shooting-percentage,win-pct-all-games,points-per-game,,offensive-efficiency,defensive-efficiency,true-shooting-percentage,win-pct-all-games
Charlotte, Orlando
Toronto, Philadelphia
Milwaukee, Boston
Minnesota, San Antonio
New Orleans, Portland
Denver, Memphis
Golden State, Los Angeles
