DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
1999-11-14,Denver Nuggets,116,Sacramento Kings,126
1999-11-14,Philadelphia 76ers,93,Toronto Raptors,90
1999-11-14,Los Angeles Clippers,89,Vancouver Grizzlies,109
1999-11-15,Indiana Pacers,96,Houston Rockets,87
1999-11-15,Seattle SuperSonics,100,New Jersey Nets,92
1999-11-15,Los Angeles Lakers,91,Phoenix Suns,82
1999-11-15,San Antonio Spurs,85,Utah Jazz,91
1999-11-16,Charlotte Hornets,98,Atlanta Hawks,103
1999-11-16,Houston Rockets,95,Dallas Mavericks,114
1999-11-16,New York Knicks,102,Denver Nuggets,95
1999-11-16,Chicago Bulls,79,Golden State Warriors,99
1999-11-16,Portland Trail Blazers,101,Miami Heat,96
1999-11-16,Los Angeles Clippers,93,Milwaukee Bucks,101
1999-11-16,Vancouver Grizzlies,77,Sacramento Kings,81
1999-11-16,Indiana Pacers,87,San Antonio Spurs,90
1999-11-16,Detroit Pistons,85,Toronto Raptors,89
1999-11-16,Philadelphia 76ers,95,Washington Wizards,73
1999-11-17,Cleveland Cavaliers,103,Boston Celtics,114
1999-11-17,Dallas Mavericks,99,Charlotte Hornets,104
1999-11-17,New Jersey Nets,107,Detroit Pistons,109
1999-11-17,Los Angeles Clippers,89,Minnesota Timberwolves,85
1999-11-17,Portland Trail Blazers,81,Orlando Magic,79
1999-11-17,Miami Heat,98,Philadelphia 76ers,93
1999-11-17,Chicago Bulls,81,Phoenix Suns,105
1999-11-17,Golden State Warriors,108,Seattle SuperSonics,111
1999-11-17,New York Knicks,90,Utah Jazz,98
1999-11-18,Los Angeles Lakers,82,Denver Nuggets,93
1999-11-18,Sacramento Kings,128,Houston Rockets,110
1999-11-18,San Antonio Spurs,88,Milwaukee Bucks,99
1999-11-18,Seattle SuperSonics,110,Vancouver Grizzlies,108
1999-11-18,Toronto Raptors,81,Washington Wizards,92
1999-11-19,New Jersey Nets,96,Boston Celtics,109
1999-11-19,Sacramento Kings,103,Dallas Mavericks,94
1999-11-19,Cleveland Cavaliers,90,Detroit Pistons,101
1999-11-19,Atlanta Hawks,105,Indiana Pacers,99
1999-11-19,Chicago Bulls,95,Los Angeles Lakers,103
1999-11-19,Utah Jazz,84,Minnesota Timberwolves,89
1999-11-19,Charlotte Hornets,103,Orlando Magic,92
1999-11-19,Portland Trail Blazers,97,Philadelphia 76ers,91
1999-11-19,New York Knicks,81,Phoenix Suns,96
1999-11-19,Los Angeles Clippers,100,Toronto Raptors,106
1999-11-20,Orlando Magic,107,Atlanta Hawks,103
1999-11-20,Portland Trail Blazers,100,Charlotte Hornets,96
1999-11-20,Indiana Pacers,107,Cleveland Cavaliers,98
1999-11-20,Chicago Bulls,86,Denver Nuggets,95
1999-11-20,New York Knicks,86,Golden State Warriors,79
1999-11-20,Boston Celtics,92,Miami Heat,110
1999-11-20,Utah Jazz,111,Milwaukee Bucks,100
1999-11-20,Philadelphia 76ers,100,New Jersey Nets,96
1999-11-20,Dallas Mavericks,90,San Antonio Spurs,106
1999-11-20,Houston Rockets,107,Seattle SuperSonics,110
1999-11-20,Los Angeles Clippers,98,Washington Wizards,89
1999-11-21,Milwaukee Bucks,94,Detroit Pistons,113
1999-11-21,Toronto Raptors,111,Los Angeles Lakers,102
1999-11-21,Seattle SuperSonics,86,Phoenix Suns,99
1999-11-21,Houston Rockets,105,Sacramento Kings,110
