DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2005-01-17,Washington Wizards,73,San Antonio Spurs,101
2005-01-17,Toronto Raptors,100,Minnesota Timberwolves,91
2005-01-17,Houston Rockets,80,Memphis Grizzlies,99
2005-01-17,Denver Nuggets,97,Golden State Warriors,107
2005-01-17,Utah Jazz,102,Los Angeles Lakers,94
2005-01-18,Detroit Pistons,101,Orlando Magic,103
2005-01-18,Washington Wizards,120,Dallas Mavericks,137
2005-01-18,Indiana Pacers,87,Houston Rockets,74
2005-01-18,Portland Trail Blazers,107,Sacramento Kings,113
2005-01-18,Denver Nuggets,116,Seattle SuperSonics,110
2005-01-19,Chicago Bulls,83,Boston Celtics,92
2005-01-19,Philadelphia 76ers,107,Charlotte Bobcats,105
2005-01-19,New York Knicks,81,Toronto Raptors,98
2005-01-19,Atlanta Hawks,92,Miami Heat,111
2005-01-19,Milwaukee Bucks,90,New Jersey Nets,96
2005-01-19,Indiana Pacers,87,New Orleans Hornets,90
2005-01-19,Los Angeles Clippers,79,San Antonio Spurs,80
2005-01-19,Memphis Grizzlies,88,Phoenix Suns,79
2005-01-19,Cleveland Cavaliers,107,Portland Trail Blazers,101
2005-01-19,Minnesota Timberwolves,90,Los Angeles Lakers,93
2005-01-20,Houston Rockets,108,Orlando Magic,99
2005-01-20,Los Angeles Clippers,77,Dallas Mavericks,99
2005-01-20,Cleveland Cavaliers,96,Sacramento Kings,123
2005-01-21,Dallas Mavericks,105,Charlotte Bobcats,99
2005-01-21,Toronto Raptors,109,Washington Wizards,118
2005-01-21,Boston Celtics,98,New Jersey Nets,104
2005-01-21,Houston Rockets,92,New York Knicks,91
2005-01-21,Indiana Pacers,106,Miami Heat,100
2005-01-21,Atlanta Hawks,85,Chicago Bulls,95
2005-01-21,Detroit Pistons,86,Milwaukee Bucks,89
2005-01-21,Memphis Grizzlies,82,Denver Nuggets,92
2005-01-21,Golden State Warriors,101,Los Angeles Lakers,105
2005-01-21,San Antonio Spurs,128,Phoenix Suns,123
2005-01-21,Minnesota Timberwolves,112,Seattle SuperSonics,107
2005-01-22,Boston Celtics,96,Atlanta Hawks,100
2005-01-22,Philadelphia 76ers,111,Orlando Magic,115
2005-01-22,Chicago Bulls,100,Detroit Pistons,89
2005-01-22,Washington Wizards,95,Indiana Pacers,93
2005-01-22,Los Angeles Clippers,85,New Orleans Hornets,88
2005-01-22,Memphis Grizzlies,110,Utah Jazz,94
2005-01-22,Minnesota Timberwolves,92,Portland Trail Blazers,83
2005-01-22,Cleveland Cavaliers,105,Golden State Warriors,87
2005-01-23,Denver Nuggets,93,Dallas Mavericks,95
2005-01-23,Charlotte Bobcats,92,Toronto Raptors,103
2005-01-23,Milwaukee Bucks,101,New York Knicks,96
2005-01-23,New Orleans Hornets,68,Miami Heat,97
2005-01-23,New Jersey Nets,105,Phoenix Suns,113
2005-01-23,San Antonio Spurs,103,Sacramento Kings,73
2005-01-23,Utah Jazz,105,Seattle SuperSonics,122
2005-01-24,Washington Wizards,106,Cleveland Cavaliers,97
2005-01-24,Miami Heat,98,Philadelphia 76ers,106
2005-01-24,Chicago Bulls,107,Atlanta Hawks,82
2005-01-24,Detroit Pistons,83,Minnesota Timberwolves,86
2005-01-24,Orlando Magic,78,Houston Rockets,89
2005-01-24,San Antonio Spurs,99,Portland Trail Blazers,107
2005-01-24,Dallas Mavericks,87,Los Angeles Clippers,97
2005-01-25,Boston Celtics,97,Charlotte Bobcats,92
2005-01-25,Phoenix Suns,133,New York Knicks,118
2005-01-25,Orlando Magic,83,Memphis Grizzlies,95
2005-01-25,Denver Nuggets,107,Chicago Bulls,111
2005-01-25,New Jersey Nets,93,Sacramento Kings,113
2005-01-25,Seattle SuperSonics,104,Los Angeles Lakers,93
2005-01-26,Indiana Pacers,86,Boston Celtics,100
2005-01-26,Memphis Grizzlies,111,Cleveland Cavaliers,114
2005-01-26,Miami Heat,111,Toronto Raptors,96
2005-01-26,Philadelphia 76ers,107,Washington Wizards,117
2005-01-26,Denver Nuggets,70,Detroit Pistons,87
2005-01-26,Phoenix Suns,121,Milwaukee Bucks,115
2005-01-26,Atlanta Hawks,87,Minnesota Timberwolves,104
2005-01-26,Houston Rockets,82,New Orleans Hornets,77
2005-01-26,Seattle SuperSonics,100,Utah Jazz,109
2005-01-26,Dallas Mavericks,95,Portland Trail Blazers,88
2005-01-26,New Jersey Nets,113,Golden State Warriors,99
2005-01-26,Los Angeles Lakers,89,Los Angeles Clippers,105
2005-01-27,Detroit Pistons,88,Indiana Pacers,76
2005-01-27,Charlotte Bobcats,93,Chicago Bulls,101
2005-01-27,Sacramento Kings,80,San Antonio Spurs,90
2005-01-28,Toronto Raptors,94,Charlotte Bobcats,101
2005-01-28,Cleveland Cavaliers,96,New York Knicks,99
2005-01-28,Washington Wizards,101,Orlando Magic,108
2005-01-28,Miami Heat,106,Atlanta Hawks,96
2005-01-28,Phoenix Suns,128,Boston Celtics,119
2005-01-28,Utah Jazz,91,Minnesota Timberwolves,93
2005-01-28,Philadelphia 76ers,95,New Orleans Hornets,99
2005-01-28,Denver Nuggets,106,Milwaukee Bucks,100
2005-01-28,Sacramento Kings,117,Houston Rockets,111
2005-01-28,Los Angeles Clippers,86,Portland Trail Blazers,90
2005-01-28,Seattle SuperSonics,88,Golden State Warriors,85
2005-01-28,New Jersey Nets,109,Los Angeles Lakers,103
2005-01-29,Orlando Magic,103,Washington Wizards,97
2005-01-29,New York Knicks,61,Detroit Pistons,91
2005-01-29,Denver Nuggets,95,Indiana Pacers,88
2005-01-29,Atlanta Hawks,83,Memphis Grizzlies,84
2005-01-29,Boston Celtics,101,Chicago Bulls,97
2005-01-29,Philadelphia 76ers,93,Dallas Mavericks,89
2005-01-29,New Orleans Hornets,83,San Antonio Spurs,93
2005-01-29,New Jersey Nets,99,Utah Jazz,82
2005-01-29,Golden State Warriors,85,Los Angeles Clippers,96
2005-01-30,Houston Rockets,95,Miami Heat,104
2005-01-30,Sacramento Kings,94,Minnesota Timberwolves,84
2005-01-30,Phoenix Suns,123,Toronto Raptors,105
2005-01-30,Milwaukee Bucks,87,Cleveland Cavaliers,104
2005-01-30,Charlotte Bobcats,90,Los Angeles Lakers,101
2005-01-31,Houston Rockets,97,Boston Celtics,94
2005-01-31,Indiana Pacers,88,Philadelphia 76ers,89
2005-01-31,Orlando Magic,79,Atlanta Hawks,80
2005-01-31,Memphis Grizzlies,98,New Orleans Hornets,91
2005-01-31,San Antonio Spurs,103,Seattle SuperSonics,84
2005-01-31,New York Knicks,89,Los Angeles Clippers,96
2005-02-01,Cleveland Cavaliers,102,Orlando Magic,105
2005-02-01,Detroit Pistons,105,Washington Wizards,96
2005-02-01,Chicago Bulls,97,New Jersey Nets,107
2005-02-01,Phoenix Suns,97,Memphis Grizzlies,108
2005-02-01,Minnesota Timberwolves,86,Milwaukee Bucks,91
2005-02-01,Miami Heat,104,Dallas Mavericks,109
2005-02-01,New York Knicks,76,Denver Nuggets,96
2005-02-01,Charlotte Bobcats,109,Utah Jazz,105
2005-02-01,Seattle SuperSonics,106,Sacramento Kings,101
2005-02-01,Portland Trail Blazers,79,Los Angeles Lakers,92
2005-02-02,New Jersey Nets,89,Boston Celtics,110
2005-02-02,Toronto Raptors,98,Indiana Pacers,97
2005-02-02,Houston Rockets,118,Philadelphia 76ers,95
2005-02-02,Atlanta Hawks,84,Detroit Pistons,99
2005-02-02,Phoenix Suns,108,Minnesota Timberwolves,79
2005-02-02,Dallas Mavericks,90,New Orleans Hornets,82
2005-02-02,Denver Nuggets,94,Portland Trail Blazers,97
2005-02-02,Sacramento Kings,111,Golden State Warriors,107
2005-02-03,Los Angeles Clippers,106,Memphis Grizzlies,103
2005-02-03,Cleveland Cavaliers,88,Miami Heat,100
2005-02-03,San Antonio Spurs,103,Los Angeles Lakers,91
2005-02-04,Dallas Mavericks,94,Indiana Pacers,95
2005-02-04,Atlanta Hawks,85,Philadelphia 76ers,103
2005-02-04,Washington Wizards,100,Toronto Raptors,103
2005-02-04,Orlando Magic,100,Boston Celtics,112
2005-02-04,Los Angeles Clippers,90,Milwaukee Bucks,92
2005-02-04,Houston Rockets,119,Minnesota Timberwolves,113
2005-02-04,Charlotte Bobcats,89,Portland Trail Blazers,101
2005-02-04,New York Knicks,115,Sacramento Kings,116
2005-02-04,New Orleans Hornets,82,Golden State Warriors,90
2005-02-05,Detroit Pistons,85,New Jersey Nets,107
2005-02-05,Indiana Pacers,84,Atlanta Hawks,79
2005-02-05,Milwaukee Bucks,94,Washington Wizards,112
2005-02-05,Orlando Magic,92,Cleveland Cavaliers,101
2005-02-05,Chicago Bulls,97,Miami Heat,108
2005-02-05,Golden State Warriors,91,Denver Nuggets,107
2005-02-05,New York Knicks,106,Phoenix Suns,114
2005-02-05,New Orleans Hornets,92,Utah Jazz,108
2005-02-05,Sacramento Kings,108,Portland Trail Blazers,114
2005-02-05,Charlotte Bobcats,99,Seattle SuperSonics,113
2005-02-06,Boston Celtics,103,Minnesota Timberwolves,100
2005-02-06,Los Angeles Clippers,104,Philadelphia 76ers,106
2005-02-06,Dallas Mavericks,122,Toronto Raptors,113
2005-02-06,Los Angeles Lakers,102,Houston Rockets,103
2005-02-07,Indiana Pacers,104,Washington Wizards,108
2005-02-07,Los Angeles Lakers,108,Atlanta Hawks,114
2005-02-07,Golden State Warriors,96,Miami Heat,105
2005-02-07,Philadelphia 76ers,97,New Jersey Nets,107
2005-02-07,New York Knicks,102,Utah Jazz,99
2005-02-08,San Antonio Spurs,104,Charlotte Bobcats,85
2005-02-08,Toronto Raptors,91,Cleveland Cavaliers,104
2005-02-08,Golden State Warriors,113,Orlando Magic,109
2005-02-08,Minnesota Timberwolves,96,Memphis Grizzlies,108
2005-02-08,Boston Celtics,97,Milwaukee Bucks,121
2005-02-08,Chicago Bulls,107,Dallas Mavericks,100
2005-02-08,Utah Jazz,87,Denver Nuggets,97
2005-02-08,Phoenix Suns,125,Sacramento Kings,123
2005-02-08,New Orleans Hornets,91,Seattle SuperSonics,108
2005-02-09,Los Angeles Clippers,89,Boston Celtics,94
2005-02-09,Charlotte Bobcats,87,Indiana Pacers,94
2005-02-09,Memphis Grizzlies,98,Philadelphia 76ers,95
2005-02-09,Milwaukee Bucks,110,Toronto Raptors,107
2005-02-09,San Antonio Spurs,87,Washington Wizards,95
2005-02-09,Los Angeles Lakers,104,New Jersey Nets,103
2005-02-09,Miami Heat,116,New York Knicks,110
2005-02-09,Denver Nuggets,92,Minnesota Timberwolves,98
2005-02-09,Chicago Bulls,92,Houston Rockets,105
2005-02-09,New Orleans Hornets,91,Portland Trail Blazers,80
2005-02-10,Atlanta Hawks,96,Orlando Magic,101
2005-02-10,Los Angeles Lakers,81,Detroit Pistons,103
2005-02-10,Sacramento Kings,107,Seattle SuperSonics,115
2005-02-11,Miami Heat,97,Charlotte Bobcats,87
2005-02-11,Houston Rockets,91,Indiana Pacers,83
2005-02-11,Philadelphia 76ers,106,Toronto Raptors,91
2005-02-11,Los Angeles Clippers,91,Washington Wizards,94
2005-02-11,New York Knicks,94,Boston Celtics,111
2005-02-11,San Antonio Spurs,101,New Jersey Nets,91
2005-02-11,Denver Nuggets,106,Cleveland Cavaliers,101
2005-02-11,Portland Trail Blazers,82,Memphis Grizzlies,88
2005-02-11,Golden State Warriors,108,New Orleans Hornets,111
2005-02-11,Seattle SuperSonics,113,Phoenix Suns,105
2005-02-11,Minnesota Timberwolves,82,Utah Jazz,100
2005-02-11,Dallas Mavericks,115,Sacramento Kings,113
2005-02-12,Orlando Magic,99,Philadelphia 76ers,112
2005-02-12,Washington Wizards,86,Detroit Pistons,107
2005-02-12,Atlanta Hawks,83,Milwaukee Bucks,113
2005-02-13,San Antonio Spurs,92,Miami Heat,96
2005-02-13,Los Angeles Lakers,89,Cleveland Cavaliers,103
2005-02-13,Chicago Bulls,87,Minnesota Timberwolves,83
2005-02-13,Sacramento Kings,104,Boston Celtics,100
2005-02-13,Memphis Grizzlies,73,Indiana Pacers,76
2005-02-13,Denver Nuggets,79,New Jersey Nets,94
2005-02-13,Charlotte Bobcats,99,New York Knicks,102
2005-02-13,New Orleans Hornets,94,Orlando Magic,97
2005-02-13,Los Angeles Clippers,106,Toronto Raptors,109
2005-02-13,Dallas Mavericks,95,Seattle SuperSonics,92
2005-02-13,Portland Trail Blazers,80,Houston Rockets,81
2005-02-13,Phoenix Suns,106,Golden State Warriors,102
2005-02-14,Portland Trail Blazers,80,Charlotte Bobcats,77
2005-02-14,New York Knicks,105,Philadelphia 76ers,106
2005-02-14,Milwaukee Bucks,83,Detroit Pistons,107
2005-02-14,Washington Wizards,96,New Orleans Hornets,98
2005-02-14,Utah Jazz,128,Phoenix Suns,136
2005-02-15,Los Angeles Clippers,94,Orlando Magic,99
2005-02-15,Denver Nuggets,100,Atlanta Hawks,96
2005-02-15,New Jersey Nets,71,Minnesota Timberwolves,82
2005-02-15,Sacramento Kings,102,Chicago Bulls,107
2005-02-15,Washington Wizards,93,Houston Rockets,123
2005-02-15,Dallas Mavericks,114,Golden State Warriors,107
2005-02-15,Utah Jazz,95,Los Angeles Lakers,102
2005-02-16,Memphis Grizzlies,88,Boston Celtics,90
2005-02-16,Denver Nuggets,88,Charlotte Bobcats,94
2005-02-16,Atlanta Hawks,89,Cleveland Cavaliers,111
2005-02-16,Portland Trail Blazers,87,Indiana Pacers,95
2005-02-16,Detroit Pistons,93,Philadelphia 76ers,75
2005-02-16,Chicago Bulls,121,Toronto Raptors,115
2005-02-16,Los Angeles Clippers,95,Miami Heat,113
2005-02-16,Sacramento Kings,85,New Jersey Nets,96
2005-02-16,Milwaukee Bucks,90,New York Knicks,108
2005-02-16,San Antonio Spurs,101,New Orleans Hornets,78
2005-02-16,Golden State Warriors,117,Seattle SuperSonics,110
2005-02-17,Cleveland Cavaliers,88,Minnesota Timberwolves,94
2005-02-17,Dallas Mavericks,119,Phoenix Suns,113
2005-02-22,Milwaukee Bucks,112,Charlotte Bobcats,102
2005-02-22,Indiana Pacers,108,Orlando Magic,84
2005-02-22,New York Knicks,88,Detroit Pistons,97
2005-02-22,Toronto Raptors,100,New Jersey Nets,82
2005-02-22,Miami Heat,101,Chicago Bulls,105
2005-02-22,Seattle SuperSonics,87,Houston Rockets,85
2005-02-22,Atlanta Hawks,104,Sacramento Kings,114
2005-02-22,Boston Celtics,95,Los Angeles Lakers,104
2005-02-23,Chicago Bulls,91,Cleveland Cavaliers,100
2005-02-23,Miami Heat,91,Indiana Pacers,93
2005-02-23,Memphis Grizzlies,83,Washington Wizards,93
2005-02-23,New Jersey Nets,81,Milwaukee Bucks,100
2005-02-23,Seattle SuperSonics,103,New Orleans Hornets,85
2005-02-23,Boston Celtics,86,Denver Nuggets,107
2005-02-23,Los Angeles Clippers,101,Phoenix Suns,118
2005-02-23,Houston Rockets,81,San Antonio Spurs,99
2005-02-23,Dallas Mavericks,101,Utah Jazz,83
2005-02-23,Los Angeles Lakers,86,Portland Trail Blazers,83
2005-02-23,Atlanta Hawks,96,Golden State Warriors,101
2005-02-24,Philadelphia 76ers,101,New York Knicks,113
2005-02-24,Sacramento Kings,113,Dallas Mavericks,122
2005-02-24,Minnesota Timberwolves,86,Los Angeles Clippers,92
2005-02-25,Charlotte Bobcats,86,New Jersey Nets,93
2005-02-25,Cleveland Cavaliers,82,Indiana Pacers,106
2005-02-25,Denver Nuggets,97,Memphis Grizzlies,94
2005-02-25,Washington Wizards,90,Chicago Bulls,97
2005-02-25,Toronto Raptors,106,Milwaukee Bucks,102
2005-02-25,Boston Celtics,109,Utah Jazz,102
2005-02-25,Atlanta Hawks,101,Portland Trail Blazers,102
2005-02-25,Detroit Pistons,111,Los Angeles Lakers,90
2005-02-25,Minnesota Timberwolves,88,Seattle SuperSonics,98
2005-02-26,Orlando Magic,98,Miami Heat,101
2005-02-26,Chicago Bulls,94,Charlotte Bobcats,90
2005-02-26,Indiana Pacers,79,New York Knicks,90
2005-02-26,Sacramento Kings,101,Philadelphia 76ers,99
2005-02-26,Phoenix Suns,124,Dallas Mavericks,123
2005-02-26,Memphis Grizzlies,84,San Antonio Spurs,82
2005-02-27,Cleveland Cavaliers,98,New Jersey Nets,104
2005-02-27,Los Angeles Lakers,102,Toronto Raptors,108
2005-02-27,Seattle SuperSonics,73,Milwaukee Bucks,99
2005-02-27,Utah Jazz,99,Houston Rockets,92
2005-02-27,Sacramento Kings,110,Washington Wizards,108
2005-02-27,Denver Nuggets,94,New Orleans Hornets,93
2005-02-27,Miami Heat,112,Orlando Magic,103
2005-02-27,Boston Celtics,120,Phoenix Suns,113
2005-02-27,Minnesota Timberwolves,91,Portland Trail Blazers,83
2005-02-27,Detroit Pistons,94,Golden State Warriors,88
2005-02-27,Atlanta Hawks,104,Los Angeles Clippers,111
2005-02-28,San Antonio Spurs,94,Cleveland Cavaliers,92
2005-02-28,Los Angeles Lakers,115,New York Knicks,117
2005-02-28,New Orleans Hornets,86,Dallas Mavericks,90
2005-02-28,Los Angeles Clippers,86,Utah Jazz,87
2005-03-01,Golden State Warriors,97,Memphis Grizzlies,99
2005-03-01,Sacramento Kings,87,Charlotte Bobcats,94
2005-03-01,Seattle SuperSonics,101,Indiana Pacers,93
2005-03-01,Philadelphia 76ers,118,Milwaukee Bucks,111
2005-03-01,Houston Rockets,119,Chicago Bulls,89
2005-03-01,Atlanta Hawks,74,Denver Nuggets,97
2005-03-01,Detroit Pistons,103,Portland Trail Blazers,93
2005-03-02,Seattle SuperSonics,103,Cleveland Cavaliers,86
2005-03-02,Sacramento Kings,111,Orlando Magic,114
2005-03-02,New Jersey Nets,99,Philadelphia 76ers,93
2005-03-02,Houston Rockets,98,Washington Wizards,101
2005-03-02,Los Angeles Lakers,101,Boston Celtics,104
2005-03-02,Golden State Warriors,99,Minnesota Timberwolves,93
2005-03-02,Toronto Raptors,86,San Antonio Spurs,92
2005-03-02,Charlotte Bobcats,85,New Orleans Hornets,94
2005-03-02,Atlanta Hawks,74,Utah Jazz,96
2005-03-02,Dallas Mavericks,92,Los Angeles Clippers,101
2005-03-03,Miami Heat,106,New Jersey Nets,90
2005-03-03,Indiana Pacers,87,Denver Nuggets,96
2005-03-03,Detroit Pistons,97,Phoenix Suns,100
2005-03-04,New York Knicks,89,Orlando Magic,111
2005-03-04,Cleveland Cavaliers,89,Philadelphia 76ers,98
2005-03-04,Golden State Warriors,103,Washington Wizards,90
2005-03-04,Charlotte Bobcats,84,Boston Celtics,104
2005-03-04,Toronto Raptors,75,Memphis Grizzlies,86
2005-03-04,Sacramento Kings,83,Miami Heat,104
2005-03-04,Milwaukee Bucks,97,Minnesota Timberwolves,103
2005-03-04,Utah Jazz,85,New Orleans Hornets,92
2005-03-04,Chicago Bulls,99,San Antonio Spurs,102
2005-03-04,Indiana Pacers,106,Portland Trail Blazers,97
2005-03-04,Dallas Mavericks,103,Los Angeles Lakers,108
2005-03-04,Detroit Pistons,87,Seattle SuperSonics,95
2005-03-05,Philadelphia 76ers,98,Atlanta Hawks,97
2005-03-05,Washington Wizards,86,Charlotte Bobcats,84
2005-03-05,Orlando Magic,105,New Jersey Nets,81
2005-03-05,Chicago Bulls,87,Milwaukee Bucks,95
2005-03-05,Portland Trail Blazers,116,Phoenix Suns,129
2005-03-05,Denver Nuggets,105,Los Angeles Clippers,89
2005-03-06,Dallas Mavericks,69,Houston Rockets,90
2005-03-06,Detroit Pistons,85,Sacramento Kings,100
2005-03-06,Minnesota Timberwolves,99,Boston Celtics,97
2005-03-06,Toronto Raptors,95,New Orleans Hornets,84
2005-03-06,Utah Jazz,94,San Antonio Spurs,101
2005-03-06,Miami Heat,102,Cleveland Cavaliers,82
2005-03-06,Golden State Warriors,99,New York Knicks,115
2005-03-06,Phoenix Suns,110,Seattle SuperSonics,99
2005-03-06,Indiana Pacers,94,Los Angeles Lakers,103
2005-03-07,Philadelphia 76ers,100,Miami Heat,108
2005-03-07,Milwaukee Bucks,85,Chicago Bulls,90
2005-03-07,Toronto Raptors,105,Dallas Mavericks,113
2005-03-07,Portland Trail Blazers,98,Denver Nuggets,111
2005-03-07,Memphis Grizzlies,105,Los Angeles Clippers,102
2005-03-08,Orlando Magic,92,Cleveland Cavaliers,111
2005-03-08,Golden State Warriors,104,Philadelphia 76ers,85
2005-03-08,Washington Wizards,83,New York Knicks,93
2005-03-08,Atlanta Hawks,101,Milwaukee Bucks,105
2005-03-08,Charlotte Bobcats,97,Minnesota Timberwolves,102
2005-03-08,New Jersey Nets,74,San Antonio Spurs,90
2005-03-08,Indiana Pacers,89,Utah Jazz,83
2005-03-08,Memphis Grizzlies,82,Sacramento Kings,85
2005-03-08,Houston Rockets,97,Seattle SuperSonics,95
2005-03-08,Los Angeles Clippers,110,Los Angeles Lakers,101
2005-03-09,Atlanta Hawks,91,Boston Celtics,95
2005-03-09,Orlando Magic,96,Toronto Raptors,106
2005-03-09,Golden State Warriors,88,Detroit Pistons,92
2005-03-09,New Jersey Nets,86,New Orleans Hornets,85
2005-03-09,San Antonio Spurs,101,Phoenix Suns,107
2005-03-09,Chicago Bulls,97,Portland Trail Blazers,84
2005-03-10,Minnesota Timberwolves,90,Miami Heat,107
2005-03-10,Los Angeles Lakers,100,Dallas Mavericks,95
2005-03-11,Golden State Warriors,83,Indiana Pacers,101
2005-03-11,Minnesota Timberwolves,101,Orlando Magic,96
2005-03-11,Charlotte Bobcats,80,Philadelphia 76ers,112
2005-03-11,Atlanta Hawks,116,Toronto Raptors,112
2005-03-11,Detroit Pistons,113,Boston Celtics,115
2005-03-11,Dallas Mavericks,112,Milwaukee Bucks,110
2005-03-11,Houston Rockets,127,Phoenix Suns,107
2005-03-11,Memphis Grizzlies,94,Utah Jazz,82
2005-03-11,Los Angeles Clippers,112,Sacramento Kings,113
2005-03-11,Chicago Bulls,100,Seattle SuperSonics,97
2005-03-12,New Jersey Nets,65,Miami Heat,90
2005-03-12,Golden State Warriors,105,Atlanta Hawks,92
2005-03-12,Los Angeles Lakers,117,Charlotte Bobcats,116
2005-03-12,Milwaukee Bucks,107,New Orleans Hornets,111
2005-03-12,Denver Nuggets,90,San Antonio Spurs,87
2005-03-12,Memphis Grizzlies,66,Portland Trail Blazers,80
2005-03-13,Dallas Mavericks,102,Minnesota Timberwolves,93
2005-03-13,Chicago Bulls,78,Los Angeles Clippers,83
2005-03-13,Houston Rockets,111,Sacramento Kings,96
2005-03-13,Washington Wizards,101,Boston Celtics,105
2005-03-13,Utah Jazz,62,Detroit Pistons,64
2005-03-13,Seattle SuperSonics,90,New York Knicks,80
2005-03-13,New Jersey Nets,98,Orlando Magic,82
2005-03-13,Philadelphia 76ers,110,Toronto Raptors,128
2005-03-13,Indiana Pacers,86,Cleveland Cavaliers,98
2005-03-13,Phoenix Suns,106,Denver Nuggets,101
2005-03-14,Boston Celtics,119,Charlotte Bobcats,110
2005-03-14,Los Angeles Lakers,81,Washington Wizards,95
2005-03-14,Detroit Pistons,114,Atlanta Hawks,108
2005-03-14,Milwaukee Bucks,71,Miami Heat,110
2005-03-14,Portland Trail Blazers,83,Memphis Grizzlies,104
2005-03-14,New Orleans Hornets,89,San Antonio Spurs,112
2005-03-14,Houston Rockets,97,Golden State Warriors,94
2005-03-15,Utah Jazz,73,Cleveland Cavaliers,92
2005-03-15,Los Angeles Lakers,91,Philadelphia 76ers,108
2005-03-15,Miami Heat,98,New York Knicks,96
2005-03-15,Seattle SuperSonics,99,Chicago Bulls,93
2005-03-15,Minnesota Timberwolves,100,Dallas Mavericks,91
2005-03-15,Orlando Magic,94,Sacramento Kings,105
2005-03-16,Toronto Raptors,109,Boston Celtics,110
2005-03-16,Utah Jazz,84,Indiana Pacers,103
2005-03-16,Washington Wizards,122,Atlanta Hawks,93
2005-03-16,Seattle SuperSonics,95,Detroit Pistons,102
2005-03-16,Chicago Bulls,84,New Jersey Nets,100
2005-03-16,Cleveland Cavaliers,88,Milwaukee Bucks,96
2005-03-16,Memphis Grizzlies,88,New Orleans Hornets,82
2005-03-16,Portland Trail Blazers,77,Houston Rockets,108
2005-03-16,Charlotte Bobcats,101,Denver Nuggets,120
2005-03-16,Minnesota Timberwolves,73,San Antonio Spurs,89
2005-03-16,Orlando Magic,102,Los Angeles Clippers,110
2005-03-17,Los Angeles Lakers,89,Miami Heat,102
2005-03-17,Portland Trail Blazers,94,Dallas Mavericks,98
2005-03-17,Sacramento Kings,97,Golden State Warriors,100
2005-03-18,New York Knicks,106,Atlanta Hawks,92
2005-03-18,Philadelphia 76ers,93,Cleveland Cavaliers,81
2005-03-18,Los Angeles Lakers,97,Indiana Pacers,103
2005-03-18,Utah Jazz,80,New Jersey Nets,94
2005-03-18,Toronto Raptors,92,Detroit Pistons,103
2005-03-18,Minnesota Timberwolves,83,Memphis Grizzlies,88
2005-03-18,New Orleans Hornets,94,Chicago Bulls,90
2005-03-18,Boston Celtics,103,Houston Rockets,92
2005-03-18,Washington Wizards,90,Milwaukee Bucks,99
2005-03-18,Charlotte Bobcats,76,San Antonio Spurs,93
2005-03-18,Los Angeles Clippers,96,Denver Nuggets,115
2005-03-18,Golden State Warriors,110,Phoenix Suns,100
2005-03-18,Orlando Magic,90,Seattle SuperSonics,98
2005-03-19,Chicago Bulls,94,Philadelphia 76ers,88
2005-03-19,Utah Jazz,95,Washington Wizards,96
2005-03-19,New York Knicks,82,Miami Heat,97
2005-03-19,Boston Celtics,113,New Orleans Hornets,100
2005-03-19,Charlotte Bobcats,93,Dallas Mavericks,104
2005-03-19,Orlando Magic,97,Portland Trail Blazers,92
2005-03-19,Sacramento Kings,111,Los Angeles Clippers,107
2005-03-20,Cleveland Cavaliers,98,Toronto Raptors,105
2005-03-20,San Antonio Spurs,101,Detroit Pistons,110
2005-03-20,New Jersey Nets,94,Indiana Pacers,85
2005-03-20,Phoenix Suns,97,Memphis Grizzlies,91
2005-03-20,Houston Rockets,86,Minnesota Timberwolves,94
2005-03-20,Milwaukee Bucks,103,Denver Nuggets,114
2005-03-20,Golden State Warriors,104,Sacramento Kings,94
2005-03-20,Seattle SuperSonics,102,Los Angeles Lakers,100
2005-03-21,Orlando Magic,97,Charlotte Bobcats,102
2005-03-21,San Antonio Spurs,75,New York Knicks,88
2005-03-21,Atlanta Hawks,91,Chicago Bulls,105
2005-03-21,New Orleans Hornets,86,Dallas Mavericks,103
2005-03-21,Portland Trail Blazers,89,Los Angeles Clippers,96
2005-03-22,Detroit Pistons,76,Cleveland Cavaliers,91
2005-03-22,Phoenix Suns,105,Atlanta Hawks,94
2005-03-22,Indiana Pacers,91,New Jersey Nets,98
2005-03-22,Washington Wizards,98,Denver Nuggets,127
2005-03-22,Los Angeles Lakers,107,Utah Jazz,115
2005-03-22,Miami Heat,82,Houston Rockets,84
2005-03-22,Portland Trail Blazers,93,Sacramento Kings,112
2005-03-22,Milwaukee Bucks,84,Seattle SuperSonics,92
2005-03-23,Phoenix Suns,120,Charlotte Bobcats,105
2005-03-23,San Antonio Spurs,93,Indiana Pacers,100
2005-03-23,Chicago Bulls,94,Toronto Raptors,85
2005-03-23,Boston Celtics,82,New York Knicks,107
2005-03-23,New Orleans Hornets,102,Minnesota Timberwolves,107
2005-03-23,Detroit Pistons,84,Philadelphia 76ers,107
2005-03-23,Dallas Mavericks,109,Golden State Warriors,97
2005-03-23,Milwaukee Bucks,108,Los Angeles Clippers,116
2005-03-24,Charlotte Bobcats,108,Orlando Magic,94
2005-03-24,Memphis Grizzlies,105,New Jersey Nets,96
2005-03-24,Cleveland Cavaliers,80,Houston Rockets,99
2005-03-24,Los Angeles Lakers,96,Denver Nuggets,117
2005-03-24,Washington Wizards,85,Utah Jazz,84
2005-03-24,Seattle SuperSonics,96,Portland Trail Blazers,91
2005-03-24,Dallas Mavericks,101,Sacramento Kings,109
